SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GHFMGGGP035,Nutri Power Blender 350 W Mixer Grinder,2 299.00,3 295.00,Not Available,Not Available,"Pink 350 W, 2 Jar",1 N,350 W Powerful Heavy Duty Motor | Nutri Jars With Blend & Carry & Store Feature | Powerful Stainless Steel Blade | Air Vent Technology | Stainless steel Blades | ABS Body | 1 Speed Switch | Polycarbonate Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/n/u/nutri_power_pink.jpg
GHFMGGGK035,Nutri Power Blender 350 W Mixer Grinder,2 299.00,3 295.00,Not Available,Not Available,"Black 350 W, 2 Jar",1 N,350 W Powerful Heavy Duty Motor | Nutri Jars With Blend & Carry & Store Feature | Powerful Stainless Steel Blade | Air Vent Technology | Stainless steel Blades | ABS Body | 1 Speed Switch | Polycarbonate Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/n/u/nutri_power_blender.jpg
GHFMGGEK075,Prisma 750 W Mixer Grinder,4 299.00,6 995.00,Not Available,Not Available,"Black 750 W, 4 Jar",1 N,750 W Powerful Heavy Duty Motor | 21000 Revolution Per Minute* (Approx.) | Sturdy Stainless Steel Jars for Smooth Grinding Operation | Powerful Stainless Steel Blades for Superior Griding Performance | Air Vent Technology | ABS Body | Stainless steel Blades | Stainless steel Jars | 3 Speed with Pulse Function | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/r/prisma_4_jar_front_new.jpg
GHFMGGHK075,Prisma 750 W Mixer Grinder,3 299.00,6 290.00,Not Available,Not Available,"Black 750 W, 3 Jar",1 N,750 W Powerful Heavy Duty Motor | 21000 Revolution Per Minute* (Approx.) | Sturdy Stainless Steel Jars for Smooth Grinding Operation | Powerful Stainless Steel Blades for Superior Griding Performance | Air Vent Technology | ABS Body | Stainless steel Blades | Stainless steel Jars | 3 Speed with Pulse Function | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/r/prisma_3_jar_front.jpg
GHFMGFWK050,Pulse 500 W Mixer Grinder,2 499.00,3 895.00,Not Available,Not Available,"Black 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | Air Vent Technology | 3 Speeds with Pulse function | ABS Body | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgfwk050.jpg
GHFMGFXW050,Mojo 500 W Mixer Grinder,2 499.00,3 895.00,Not Available,Not Available,"White-Light Blue 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | Air Vent Technology | 3 Speeds with Pulse function | ABS Body | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgfxw050.jpg
GHFMGFWB050,Wave 500 W Mixer Grinder,2 499.00,3 895.00,Not Available,Not Available,"Blue 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | Air Vent Technology | 3 Speeds with Pulse function | ABS Body | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/w/a/wave_blue.jpg
GHFMGFYR050,Force 500 W Mixer Grinder,2 399.00,3 495.00,Not Available,Not Available,"Red 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | ACS Technology | 3 Speeds with Pulse function | ABS Body | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/o/force_red.jpg
GHFMGFYK050,Force 500 W Mixer Grinder,2 399.00,3 495.00,Not Available,Not Available,"Black 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | ACS Technology | 3 Speeds with Pulse function | ABS Body | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/o/force_black.jpg
GHFMGFYB050,Edge 500 W Mixer Grinder,2 799.00,3 795.00,Not Available,Not Available,"Blue 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | ACS Technology | 3 Speeds with Pulse function | ABS Body | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgfyb050_1_.jpg
